"Respondent ID","Start Date","End Date","What best describes you?","What’s your highest academic degree?","What best describes what you do now?","How interested are you in Technical demonstrations of techniques and packages.","How interested are you in Training on data science methods","How interested are you in Talks about big impressive projects","How interested are you in Talks about solving everyday challenges","How interested are you in Social events","R","Python","Stats Software e.g. SAS  SPSS STATA JMP","Tableau","Spreadsheets e.g. Excel Numbers Matlab","C++","SQL","Hadoop","Java","Hive","Pig","Ruby","Perl","What percentage of your time is Cleaning data","What percentage of your time is Analyzing data","What percentage of your time is Creating data visualizations","What percentage of your time is  Creating and managing databases","How many data science meetups have you attended?","As a result of the Data Science Meetup I have connected with colleagues","As a result of the Data Science Meetup I've found a job or consulting project","As a result of the Data Science Meetup  I've learned new skills that I now use at work","As a result of the Data Science Meetup I've recruited someone for a job or project","As a result of the Data Science Meetup I've participated other meetups","As a result of the Data Science Meetup I've been motivated to take seek other training opportunities (online or traditional)","Mon 6-7:30","Mon 7:30-9","Tue 6-7:","Tue 7:30-","Wed 6-7:30","Wed 7:3","Thu 6-7:3","Thu 7:30-9"
6506035492,"11/08/2017 11:04:24 AM","11/08/2017 11:26:44 AM","I’m a data scientist","Doctorate","I’m an entrepreneur","Definitely VERY interested","Definitely VERY interested","Neutral","Neutral","Neutral","Rarely use","Use all the time","Never use","Rarely use","Rarely use","Rarely use","Use all the time","Use all the time","Rarely use","Use all the time","Never use","Rarely use","Never use",20,10,20,50,"Less than 5","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","I can't see this happening","It hasn't happened but I think it could",1,1,1,1,,,1,1
6500518832,"11/06/2017 01:29:32 PM","11/06/2017 01:37:58 PM","Other (please specify)","Master’s degree","I work for a company","Somewhat interested","Somewhat interested","Definitely VERY interested","Definitely VERY interested","Neutral","Never use","Never use","Never use","Regularly use","Use all the time","Never use","Regularly use","Never use","Never use","Never use","Never use","Never use","Never use",20,40,40,0,"Less than 5","This has happened as an INDIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",1,1,1,1,,,1,1
6494977149,"11/03/2017 05:39:49 AM","11/03/2017 05:44:29 AM","I’m not a data scientist but I need some of the skills for my job or studies","Bachelor's degree","I work for a company","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Definitely VERY interested","Definitely NOT interested",,"Rarely use","Never use",,"Use all the time","Rarely use","Rarely use","Never use","Rarely use","Never use","Never use","Never use",,,20,,80,"Less than 5","It hasn't happened but I think it could","I can't see this happening","It hasn't happened but I think it could","I can't see this happening","This has happened as an INDIRECT result","It hasn't happened but I think it could",1,1,1,1,,,1,1
6488369360,"10/31/2017 02:37:43 PM","10/31/2017 02:43:10 PM","I want to be a data scientist","Master’s degree","I’m a grad student","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Rarely use","Rarely use","Regularly use","Never use","Rarely use","Regularly use","Rarely use","Never use","Rarely use","Never use","Never use","Never use","Never use",,,,,"Less than 5","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as a DIRECT result","This has happened as a DIRECT result",1,1,1,1,,,1,1
6487915432,"10/31/2017 12:09:22 PM","10/31/2017 12:15:47 PM","I’m not a data scientist but I need some of the skills for my job or studies","Bachelor's degree","I’m a grad student","Somewhat interested","Somewhat interested","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Never use","Use all the time",,"Rarely use","Use all the time","Never use","Never use","Never use","Use all the time","Never use","Never use","Rarely use","Never use",20,20,50,10,"Less than 5","This has happened as an INDIRECT result","It hasn't happened but I think it could","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as a DIRECT result","This has happened as an INDIRECT result",1,1,,1,,,1,1
6492714214,"11/02/2017 08:38:56 AM","11/02/2017 08:50:37 AM","I’m a data scientist","Doctorate","I work for the government","Definitely VERY interested","Definitely VERY interested","NOT interested","Definitely VERY interested","Neutral","Rarely use","Rarely use","Use all the time","Rarely use","Use all the time","Never use","Use all the time","Never use","Never use","Never use","Never use","Never use","Never use",20,30,10,40,"None","I can't see this happening","I can't see this happening","I can't see this happening","I can't see this happening","I can't see this happening","I can't see this happening",,,,,,,1,1
6500193841,"11/06/2017 11:40:46 AM","11/06/2017 11:43:24 AM","Other (please specify)","Doctorate","I work for a non-profit","Somewhat interested","Somewhat interested","Somewhat interested","Somewhat interested","Somewhat interested","Regularly use",,"Never use","Regularly use","Regularly use",,,,,,,,,,,,,"5-10","This has happened as a DIRECT result",,"This has happened as a DIRECT result",,"This has happened as a DIRECT result","It hasn't happened but I think it could",,1,1,,1,1,,1
6592979925,"12/19/2017 06:51:46 AM","12/19/2017 06:54:10 AM","I want to understand how data science can help my organization/business","Doctorate","I work for a company","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Neutral","Never use","Rarely use","Rarely use","Rarely use","Use all the time","Rarely use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",10,60,30,0,"Less than 5","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result","This has happened as an INDIRECT result",,1,,1,,1,,1
6552865047,"11/29/2017 12:23:35 PM","11/29/2017 12:26:00 PM","I’m not a data scientist but I need some of the skills for my job or studies","Master’s degree","I work for a non-profit","Somewhat interested","Definitely VERY interested","Somewhat interested","Definitely VERY interested","Neutral","Never use","Regularly use","Regularly use","Never use","Use all the time","Rarely use","Rarely use","Never use","Rarely use","Never use","Never use","Never use","Never use",30,30,10,30,"None","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",,1,,1,,1,,1
6500929849,"11/06/2017 03:56:48 PM","11/06/2017 04:02:12 PM","I’m not a data scientist but I need some of the skills for my job or studies","Bachelor's degree","I’m a freelancer/consultant","Somewhat interested","Somewhat interested","Somewhat interested","Definitely VERY interested","Somewhat interested","Never use","Rarely use","Never use","Rarely use","Use all the time","Never use","Never use","Never use","Never use","Never use","Never use","Never use","Rarely use",10,80,10,0,"Less than 5","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",,1,,1,,1,,1
